offID sirID damID
40001 30257 30922
40002 30257 30922
40003 30257 30942
40004 30257 30942
40005 30257 30746
40006 30257 30746
40007 30257 30544
40008 30257 30544
40009 30257 30478
40010 30257 30478
40011 30257 30264
40012 30257 30930
40013 30257 30044
40014 30257 30800
40015 30257 30648
40016 30257 30648
40017 30257 30598
40018 30257 30598
40019 30257 30066
40020 30257 30066
40021 30445 30814
40022 30445 30814
40023 30445 30818
40024 30445 30892
40025 30445 30556
40026 30445 30556
40027 30445 30518
40028 30445 30518
40029 30445 30892
40030 30445 30926
40031 30445 30578
40032 30445 30074
40033 30445 30606
40034 30445 30606
40035 30445 30770
40036 30445 30770
40037 30445 30294
40038 30445 30294
40039 30445 30348
40040 30445 30348
40041 30407 30642
40042 30407 30642
40043 30407 30234
40044 30407 30516
40045 30407 30114
40046 30407 30114
40047 30407 30192
40048 30407 30192
40049 30407 30628
40050 30407 30628
40051 30407 30118
40052 30407 30156
40053 30407 30412
40054 30407 30730
40055 30407 30580
40056 30407 30580
40057 30407 30988
40058 30407 30988
40059 30407 30212
40060 30407 30212
40061 30117 30790
40062 30117 30538
40063 30117 30502
40064 30117 30502
40065 30117 30978
40066 30117 30810
40067 30117 30404
40068 30117 30404
40069 30117 30126
40070 30117 30126
40071 30117 30372
40072 30117 30372
40073 30117 30238
40074 30117 30238
40075 30117 30706
40076 30117 30706
40077 30117 30128
40078 30117 30128
40079 30117 30886
40080 30117 30886
40081 30907 30918
40082 30907 30596
40083 30907 30168
40084 30907 30168
40085 30907 30808
40086 30907 31000
40087 30907 30264
40088 30907 30264
40089 30907 30974
40090 30907 30974
40091 30907 30472
40092 30907 30472
40093 30907 30534
40094 30907 30534
40095 30907 30844
40096 30907 30844
40097 30907 30426
40098 30907 30160
40099 30907 30538
40100 30907 30538
40101 30525 30908
40102 30525 30908
40103 30525 30664
40104 30525 30664
40105 30525 30034
40106 30525 30034
40107 30525 30476
40108 30525 30476
40109 30525 30834
40110 30525 30834
40111 30525 30574
40112 30525 30574
40113 30525 30920
40114 30525 30920
40115 30525 30960
40116 30525 30960
40117 30525 30028
40118 30525 30028
40119 30525 30774
40120 30525 30588
40121 30807 30954
40122 30807 30954
40123 30807 30918
40124 30807 30918
40125 30807 30636
40126 30807 30636
40127 30807 30710
40128 30807 30080
40129 30807 30296
40130 30807 30296
40131 30807 30376
40132 30807 30376
40133 30807 30684
40134 30807 30684
40135 30807 30204
40136 30807 30204
40137 30807 30386
40138 30807 30386
40139 30807 30342
40140 30807 30342
40141 30269 30110
40142 30269 30110
40143 30269 30070
40144 30269 30090
40145 30269 30360
40146 30269 30360
40147 30269 30320
40148 30269 30534
40149 30269 30998
40150 30269 30998
40151 30269 30818
40152 30269 30938
40153 30269 30852
40154 30269 30852
40155 30269 30398
40156 30269 30398
40157 30269 30806
40158 30269 30806
40159 30269 30892
40160 30269 30892
40161 30245 30740
40162 30245 30130
40163 30245 30756
40164 30245 30756
40165 30245 30702
40166 30245 30702
40167 30245 30816
40168 30245 30982
40169 30245 30822
40170 30245 30822
40171 30245 30902
40172 30245 30108
40173 30245 30664
40174 30245 30100
40175 30245 30716
40176 30245 30716
40177 30245 30624
40178 30245 30502
40179 30245 30762
40180 30245 30762
40181 30601 30976
40182 30601 30976
40183 30601 30854
40184 30601 30854
40185 30601 30832
40186 30601 30832
40187 30601 30352
40188 30601 30230
40189 30601 30564
40190 30601 30564
40191 30601 30304
40192 30601 30304
40193 30601 30148
40194 30601 30148
40195 30601 30536
40196 30601 30536
40197 30601 30120
40198 30601 30120
40199 30601 30612
40200 30601 30612
40201 30387 30582
40202 30387 30582
40203 30387 30552
40204 30387 30860
40205 30387 30402
40206 30387 30256
40207 30387 30588
40208 30387 30378
40209 30387 30330
40210 30387 30330
40211 30387 30366
40212 30387 30366
40213 30387 30418
40214 30387 30040
40215 30387 30480
40216 30387 30480
40217 30387 30410
40218 30387 30410
40219 30387 30072
40220 30387 30072
40221 30125 30350
40222 30125 30350
40223 30125 30392
40224 30125 30024
40225 30125 30966
40226 30125 30966
40227 30125 30874
40228 30125 30104
40229 30125 30234
40230 30125 30234
40231 30125 30506
40232 30125 30506
40233 30125 30414
40234 30125 30414
40235 30125 30702
40236 30125 30638
40237 30125 30622
40238 30125 30174
40239 30125 30764
40240 30125 30072
40241 30329 30256
40242 30329 30256
40243 30329 30840
40244 30329 30840
40245 30329 30272
40246 30329 30272
40247 30329 30554
40248 30329 30554
40249 30329 30174
40250 30329 30174
40251 30329 30548
40252 30329 30548
40253 30329 30592
40254 30329 30592
40255 30329 30258
40256 30329 30258
40257 30329 30092
40258 30329 30092
40259 30329 30384
40260 30329 30384
40261 30875 30106
40262 30875 30106
40263 30875 30232
40264 30875 30232
40265 30875 30528
40266 30875 30528
40267 30875 30002
40268 30875 30002
